RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
R//W/////////////////////////////////////////////#/////////++////////////////#//////W///////R
R</////#/////////////++///////$//////W//////////////////////////////////////////////////////R
R<///////////////////////////////////////////////$////////////////#//////////////////////>//R
R<///////////$/////////////#///////////++//////////////////////////////////$////////////////R
R//W///////////////W/////////////////////W/////////////////////W////////////////////////////R
RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR


[start]
	direction = 150

[size]
	w = 93
	h = 7
	
[total]
	bronze = 10000
	silver = 25000
	gold = 50000

[time]
	max = 13000
	bronze = 9000
	silver = 7000
	gold = 6000
	
[whits]
	max = 5
	bronze = 3
	silver = 2
	gold = 1
	
[coins]
	bronze = 1
	silver = 3
	gold = 
	
[complete]
	medal = 1
